Kategori,Rekening,Jumlah,Tanggal,Catatan,Tipe
Kirim Saldo,MANDIRI,"500,000",2025-04-26 02:33,Ke DOMPET,-
Terima Saldo,DOMPET,"500,000",2025-04-26 02:33,Dari MANDIRI,+
Biaya Admin,MANDIRI,"7,500",2025-04-26 02:33,Biaya Admin,-
Laundry,DOMPET,"27,000",2025-04-25 19:20,,-
Makanan,DOMPET,"13,000",2025-04-25 12:32,Makan siang,-
Jajan,DOMPET,"10,000",2025-04-25 12:32,Jus Mangga,-
Minuman,DOMPET,"50,000",2025-04-25 00:42,Kopi Di Ucollab,-
Jajan,DOMPET,"91,821",2025-04-25 00:42,Nongkrong ,-
Belanja,DOMPET,"40,000",2025-04-25 00:41,Tazkiah,-
Adek,DOMPET,"125,000",2025-04-25 00:41,Dana ilang,-
Rokok,DOMPET,"50,000",2025-04-25 00:41,,-
Makanan,DOMPET,"150,000",2025-04-25 00:40,,-
Belanja,DOMPET,"50,000",2025-04-25 00:39,Toolify,-
Bensin,DOMPET,"50,000",2025-04-25 00:39,,-
Motor,DOMPET,"50,000",2025-04-25 00:39,Tambal ban dan pompa depan belakang ,-
Kirim Saldo,MANDIRI,"289,269",2025-04-25 00:37,Ke DOMPET,-
Terima Saldo,DOMPET,"289,269",2025-04-25 00:37,Dari MANDIRI,+
Kirim Saldo,SHOPEE PAY,"7,552",2025-04-25 00:37,Ke DOMPET,-
Terima Saldo,DOMPET,"7,552",2025-04-25 00:37,Dari SHOPEE PAY,+
Kirim Saldo,MANDIRI,"24,000",2025-04-25 00:36,Ke GOPAY,-
Terima Saldo,GOPAY,"24,000",2025-04-25 00:36,Dari MANDIRI,+
Kirim Saldo,MANDIRI,"7,000,000",2025-04-25 00:34,Ke BCA Blu,-
Terima Saldo,BCA Blu,"7,000,000",2025-04-25 00:34,Dari MANDIRI,+
Kirim Saldo,MANDIRI,"1,825,100",2025-04-25 00:33,Ke BANK BRI,-
Terima Saldo,BANK BRI,"1,825,100",2025-04-25 00:33,Dari MANDIRI,+
Tagih Hutang,MANDIRI,"100,000",2025-04-24 11:14,Sisa 450,+
Tagih Hutang,BANK BRI,"150,000",2025-04-23 19:07,Sisa 550,+
Tambah Pinjaman,MANDIRI,"400,000",2025-04-22 19:48,Leci,-
Rokok,DOMPET,"25,000",2025-04-20 13:46,,-
